,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,632992665,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,113096571,312782586,4012676608.0,25765200.0,0.0,0.0,0.03156237
1,1,632993929,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,113096571,355,1008101888.0,9283500.0,0.0,0.0,0.0113722875
2,3,632994401,False,0.245449408888817,6190,5790,8900,0.000325918513432222,0.000180412292672919,0.0575451442489869,318.964652554547,0.000153078938085937,113096571,303,97949794304.0,692649024.0,39858588.0,124962.3984375,0.8484950544
3,1,632993812,False,0.264152079820633,6370,5740,3400,0.000516795252773163,0.000588669150602072,0.209640517830849,356.126220703125,0.000242730821484375,113096571,559,41737625600.0,336602688.0,70565560.0,198147.609375,0.4123382928
4,2,632992769,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,113096571,409,81697167616.0,551530784.0,0.0,0.0,0.6756252104
5,3,632994240,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,113096571,74,23568539648.0,186337792.0,0.0,0.0,0.2282637952
6,1,632994180,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,113096571,9,13339466752.0,104807696.0,0.0,0.0,0.1283894276
7,3,632994993,False,0.500945389270782,8060,4180,8000,0.00102838213847473,0.0194715183738426,4.35252912962963,223.533113651613,0.000483015352661133,113096571,563807439,1544410048.0,20250000.0,88138714.875,394298.247070312,0.02480625
8,1,632993719,False,0.267115622758865,5200,6810,4870,0.000230312927818575,0.00299934041686356,0.586299777030945,195.47624206543,0.000108174457617187,113096571,689,1958049536.0,29441700.0,17261662.0,88305.6796875,0.0360660825
9,2,632993282,False,0.500945389270782,8060,4180,8000,0.00100377734855783,0.03801129758358,8.53794097900391,224.61589050293,0.000471458859375,113096571,563807439,905623680.0,10125000.0,86446656.0,384864.375,0.012403125
10,1,632993284,False,0.211125746369362,7760,4030,3370,2.45000367134747e-05,5.12363221787382e-05,0.00906761549413204,176.976318359375,1.15072923095703e-05,113096571,484682524,9739315200.0,183340800.0,1662463.875,9393.7080078125,0.22459248
11,2,632992736,False,0.730356931686401,12190,6470,6800,0.467359888891298,0.0128597971051931,2.8389630317688,220.762664794922,0.2195117876,113096571,354,862815902304.0,13934380032.0,39559188480.0,179193296.0,17.0696155392
12,3,632994971,False,0.172938331961632,4240,2980,7090,8.43200465665168e-05,4.33124186434669e-05,0.010447944826732,241.222844485688,3.96038354858398e-05,113096571,1108,35288713216.0,746429376.0,7798652.9375,32329.6616210938,0.9143759856
13,2,632992972,False,0.493473917245865,10410,3560,7070,0.00127440876760862,0.000156905429321341,0.0452057830989361,288.108459472656,0.0005985702953125,113096571,728,132275953664.0,3114161152.0,140778096.0,488628.8125,3.8148474112
14,2,632993082,False,0.457900255918503,7790,3820,7670,0.00154195278923956,0.000554621200371989,0.0974363444394371,175.680887016374,0.000724231627929687,113096571,896,49791836672.0,1065969876.0,103864208.0,591209.4921875,1.3058130981
15,1,632993788,False,0.609481155872345,5680,6740,4430,0.0108971903650362,0.0125481737777591,3.75594663619995,299.322174072266,0.00511824355,113096571,596,33075636224.0,332969408.0,1250615296.0,4178158.0,0.4078875248
16,1,632993610,False,0.548101484775543,12340,6400,4240,0.0123488222363493,0.00471692439168692,0.779110431671143,165.173400878906,0.005800052825,113096571,852,56003604480.0,1003776320.0,782052608.0,4734737.0,1.229625992
17,2,632993243,False,0.546908557415009,9230,2080,7930,0.00111999117593891,2.2379181245924e-05,0.00657622329890728,293.8544921875,0.000526042715625,113096571,1089,2535930759680.0,19188486144.0,126187768.0,429422.625,23.5058955264
18,3,632994470,False,0.231007248163223,7600,520,7170,9.59786783248472e-05,5.15907121755234e-05,0.0115712838222848,224.290057925865,4.50797164056003e-05,113096571,394,87801453184.0,713302200.0,8253822.20726013,36799.7684943676,0.873795195
19,3,632994829,False,0.196355387568474,12090,1390,6140,0.000143314638464754,1.83086094159353e-05,0.00508111743012437,277.526125261152,6.73126924804687e-05,113096571,936,382996561920.0,3001273088.0,15249821.0,54949.13671875,3.6765595328
20,2,632992717,False,0.218937665224075,4160,4120,5960,8.06208395495453e-05,0.0018567368388176,0.565121114253998,304.362518310547,3.78663745605469e-05,113096571,333,1866260864.0,16648200.0,9408249.0,30911.326171875,0.020394045
21,3,632994721,False,0.561664998531342,9880,6540,6000,0.0209594086758257,0.0129785812462336,1.84851206155583,142.42789920449,0.00984431350406184,113096571,792,23622020096.0,619187424.0,1144575421.62769,8036174.28903008,0.7585045944
22,2,632994165,False,0.274659961462021,5570,6800,5930,0.000747712268944549,0.0127090159803629,2.56913232803345,202.150375366211,0.00035118901015625,113096571,576073699,1572279936.0,22557600.0,57953460.0,286684.90625,0.02763306
